Denis Vasilyev,denisvasilyev@email.com,"387 Bernard Avenue, Kelowna, BC",TRUE,4
Bronislava Matveev,bronislavamatveev@email.com,"1901 Harvey Ave, Kelowna, BC",TRUE,2
Feliks Konstantinov,felikskonstantinov@email.com,"1000 K. L. O. Rd, Kelowna, BC",TRUE,3
Klara Utkin,klarautkin@email.com,"4346 Gordon Dr, Kelowna, BC",FALSE,0
Rolan Pavlov,rolanpavlov@email.com,"705 Kitch Rd, Kelowna, BC",FALSE,0
Geert Alvarsson,geertalvarsson@email.com,"820 Guy St, Kelowna, BC",FALSE,0
Anina Madsen,aninamadsen@email.com,"715 Rutland Road North, Kelowna, BC",FALSE,0
Gennadiz Hivkov,gennadizhivkov@email.com,"1938 Kane Rd, Kelowna, BC",FALSE,0
Mitrofan Pavlov,mitrofanpavlov@email.com,"5533 Airport Way, Kelowna, BC",FALSE,0
Anna Sokolov,annasokolov@email.com,"1959 K. L. O. Road, Kelowna, BC",FALSE,0
Milena Volkov,milenavolkov@email.com,"190 Aurora Crescent, Kelowna, BC",FALSE,0
Manya Yakovlev,manyayakovlev@email.com,"1505 Gordon Dr, Kelowna, BC",FALSE,0
Feodora Petrov,feodorapetrov@email.com,"1555 Burtch Road, Kelowna, BC",FALSE,0
