Denis Vasilyev,zacharias.holland@gmail.com,"387 Bernard Avenue, Kelowna, BC",TRUE,4
Bronislava Matveev,zacharias.holland@gmail.com,"1901 Harvey Ave, Kelowna, BC",TRUE,2
Feliks Konstantinov,zacharias.holland@gmail.com,"1000 K. L. O. Rd, Kelowna, BC",TRUE,3
Klara Utkin,zacharias.holland@gmail.com,"4346 Gordon Dr, Kelowna, BC",FALSE,0
Rolan Pavlov,zacharias.holland@gmail.com,"705 Kitch Rd, Kelowna, BC",FALSE,0
Geert Alvarsson,zacharias.holland@gmail.com,"820 Guy St, Kelowna, BC",FALSE,0
Anina Madsen,zacharias.holland@gmail.com,"715 Rutland Road North, Kelowna, BC",FALSE,0
Gennadiz Hivkov,zacharias.holland@gmail.com,"1938 Kane Rd, Kelowna, BC",FALSE,0
Mitrofan Pavlov,zacharias.holland@gmail.com,"5533 Airport Way, Kelowna, BC",FALSE,0
Anna Sokolov,zacharias.holland@gmail.com,"1959 K. L. O. Road, Kelowna, BC",FALSE,0
Milena Volkov,zacharias.holland@gmail.com,"190 Aurora Crescent, Kelowna, BC",FALSE,0
Manya Yakovlev,zacharias.holland@gmail.com,"1505 Gordon Dr, Kelowna, BC",FALSE,0
Feodora Petrov,zacharias.holland@gmail.com,"1555 Burtch Road, Kelowna, BC",FALSE,0
